artist,title,date,location
Liliana Porter,Alice: The Way Out ,1994, 50 St (1)
Laura Bradley,City Suite ,1994, 96 St (6)
Josh Scharf,Carnegie Hall Montage ,1994, 57 St-7 Av (N/Q/R/W)
David Provan,Yab-Yum ,1992, 34 St-Herald Sq (B/D/F/M/N/Q/R/W)
R. M. Fischer,Brooklyn-Battery Tunnel Clock ,1992, Hugh L. Carey Tunnel
Michelle Greene,Railrider’s Throne ,1991, 116 St-Columbia University (1)
Norman B. Colp,The Commuter's Lament or A Close Shave ,1991, Times Sq-42 St (1/2/3/7/N/Q/R/W/S)
Michele Oka Doner,Radiant Site ,1991, 34 St-Herald Sq (B/D/F/M/N/Q/R/W)
Nicholas Pearson,Halo ,1991, 34 St-Herald Sq (B/D/F/M/N/Q/R/W)
Nitza Tufiño,Neo-Boriken ,1990, 103 St (6)
Harry Roseman,Subway Wall ,1990, Wall St (2/3)
Dan Sinclair,Fast Track and Speedwheels ,1990, Grand Central-42 St (4/5/6/7/S)
Nitza Tufiño,Westside Views ,1989, 86 St (1)
Matt Mullican,Untitled ,1989, 50 St (C/E)
Valerie Jaudon,Long Division ,1988, 23 St (6)
Nina Yankowitz,Tunnel Vision ,1988, 51 St (6) & Lexington Av/53 St (E/M)
Steve Wood,Fossils ,1988, 137 St-City College (1)
Nancy Holt,Astral Grating ,1987, Fulton St (2/3/4/5/A/C/J/Z)
Milton Glaser,Untitled ,1986, Astor Pl (6)
Houston Conwill,The Open Secret ,1986, 125 St (4/5/6)
