title,artist,date,School Name,Borough,Medium
MODEL FOR FLIGHT,Alfredo Ceibal,1993,P.S. 43 - QUEENS,QUEENS,PAPER
FRUIT VENDOR,Alfredo Ximinez,1940,FORT HAMILTON HS - K,BROOKLYN,ETCHING
THE OX WAGON MEXICO,Alfredo Ximinez,1937,DEWITT CLINTON HS - X,BRONX,ETCHING
"""ABSTRACTION""",Algernon Miller,1977,I.S. 324 - BROOKLYN,BROOKLYN,"ALUMINUM, PAINTED, ENAMEL"
AFRICAN GARDEN,Alice Adams,1993,P.S. 12 - BROOKLYN,BROOKLYN,STEEL
AFRICAN GARDEN,Alice Adams,1993,P.S. 12 - BROOKLYN,BROOKLYN,CAST IRON
AFRICAN GARDEN,Alice Adams,1993,P.S. 12 - BROOKLYN,BROOKLYN,WOOD
THE BEACH,Aline Fruhauf,1937,FLUSHING HS - Q,QUEENS,LITHOGRAPH
THRESHOLDS,Alison Sky,1999,P.S. 83 - BRONX,BRONX,GLASS
THRESHOLDS,Alison Sky,1999,P.S. 83 - BRONX,BRONX,PAPER
THRESHOLDS,Alison Sky,1999,P.S. 83 - BRONX,BRONX,"STEEL, PAINTED"
THRESHOLDS,Alison Sky,1999,P.S. 360 - BRONX,BRONX,"STEEL, PAINTED"
THRESHOLDS,Alison Sky,1999,P.S. 360 - BRONX,BRONX,GLASS
THRESHOLDS,Alison Sky,1999,P.S. 360 - BRONX,BRONX,FILM
THRESHOLDS,Alison Sky,1999,P.S. 360 - BRONX,BRONX,PAPER
PORTRAIT OF DR. HYMAN ALPERN,Allan Hermes,1937,EVANDER CHILDS HS - X,BRONX,OIL ON CANVAS
"PORTRAIT OF PRINCIPAL, DR. JAMES",Allan Hermes,1937,FLUSHING HS - Q,QUEENS,OIL ON CANVAS
"""FRANKLIN KNIGHT LANE, SECRETARY OF THE INTERIOR 1913-1915""",Allan Hermes,,FRANKLIN K. LANE HS - K,BROOKLYN,OIL ON CANVAS
"""CHARLES E. SPRINGMEYER PRINCIPAL OF FRANKLIN K. LANE HIGH SCHOOL 1923-1948",Allan Hermes,1937,FRANKLIN K. LANE HS - K,BROOKLYN,OIL ON CANVAS
PORTRAIT OF PRINCIPAL,Allan Hermes,1937,FLUSHING HS - Q,QUEENS,OIL ON CANVAS
EDUCATION,Allyn Cox,1961,P.S. 155 - MANHATTAN,MANHATTAN,"MOSAIC, GLASS"
UNTITLED,Alton Tobey,,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON CANVAS
UNTITLED,Alton Tobey,,OSSS / DSF - QUEENS,QUEENS,STRING
FREEDOM TO INVENT,Alton Tobey,1976,NEWCOMERS HIGH SCHOOL (OLD LIC)-Q,QUEENS,OIL ON BOARD
THE BEGINNING AND THE END OF THE BEGINNING,Alton Tobey,1976,OSSS / DSF - QUEENS,QUEENS,OIL ON PAPER
THE BEGINING AND THE END OF THE BEGINING (PRINT- SAME IMAGE AS 20169),Alton Tobey,,OSSS / DSF - QUEENS,QUEENS,PRINT
SQUARES IN SQUARE,Alvin Dickstein,,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS
ENVIRONMENTAL SCULPTURE,Ami Shamir,1985,J.H.S. 25 - MANHATTAN,MANHATTAN,CONCRETE
SQUA MAQUETTE STUDY,Amy Cheng,2003,NYC SCHOOL CONSTR. AUTHORITY - QUEENS,QUEENS,ACRYLIC ON ILLUSTRATION BOARD
MAQUETTE STUDY FOR BRANCHES,Amy Cheng,2003,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON PAPER
SEEN THROUGH THE LAYERS OF TIME,Amy Cheng,2002,P.S. 58 - QUEENS,QUEENS,OIL ON CANVAS BOARD
TRANSPORTATION MAQUETTE STUDY,Amy Cheng,2003,P.S. 222 - BROOKLYN,BROOKLYN,ACRYLIC ON ILLUSTRATION BOARD
MARTIN LUTHER KING MAQUETTE STUDY,Amy Cheng,2003,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON ILLUSTRATION BOARD
FRANKLIN D. ROOSEVELT MAQUETTE STUDY,Amy Cheng,2003,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON ILLUSTRATION BOARD
INDEPENDENCE MAQUETTE STUDY,Amy Cheng,2003,P.S. 15 - BRONX,BRONX,ACRYLIC ON ILLUSTRATION BOARD
PILGRIMS MAQUETTE STUDY,Amy Cheng,2003,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON ILLUSTRATION BOARD
INDIAN MAQUETTE STUDY,Amy Cheng,2003,P.S. 15 - BRONX,BRONX,ACRYLIC ON ILLUSTRATION BOARD
MASPETH MAQUETTE STUDY,Amy Cheng,2003,NYC SCHOOL CONSTR. AUTHORITY - QUEENS,QUEENS,ACRYLIC ON ILLUSTRATION BOARD
EMS NYPD MAQUETTE STUDY,Amy Cheng,2003,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON ILLUSTRATION BOARD
LINCOLN MAQUETTE STUDY,Amy Cheng,2003,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON ILLUSTRATION BOARD
JOURNEY MAQUETTE STUDY,Amy Cheng,2003,P.S. 15 - BRONX,BRONX,ACRYLIC ON ILLUSTRATION BOARD
FDNY MAQUETTE STUDY,Amy Cheng,2003,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON ILLUSTRATION BOARD
LUCY ON PFEIFFERS BEACH,Amy Jones,1967,J.H.S. 126 - BROOKLYN,BROOKLYN,WATERCOLOR
CHRISTMAS IN ROME,Amy Jones,1956,P.S. 158 - BROOKLYN,BROOKLYN,WATERCOLOR
AMERICAN FALLS,Amy Jones,1978,I.S. 118 - MANHATTAN,MANHATTAN,WATERCOLOR
RIVER IN MAINE,Amy Jones,1978,J.H.S. 126 - BROOKLYN,BROOKLYN,WATERCOLOR
HUDSON RIVER ICE FLOES (BROWN),Amy Jones,1969,J.H.S. 126 - BROOKLYN,BROOKLYN,WATERCOLOR
CHRISTIANSTED,Amy Jones,1981,P.S. 232 - QUEENS,QUEENS,WATERCOLOR
SPECTRUM,Amy Yoes,2009,I.S./H.S. 362 - BRONX,BRONX,PLEXIGLASS
SPECTRUM,Amy Yoes,2009,I.S./H.S. 362 - BRONX,BRONX,PLYWOOD
SPECTRUM,Amy Yoes,2009,I.S./H.S. 362 - BRONX,BRONX,ALUMINUM
SPECTRUM,Amy Yoes,2009,I.S./H.S. 362 - BRONX,BRONX,MDF
HARMONY II,Andrea Arroyo,,P.S. 306 - BRONX,BRONX,FIBERGLASS
HARMONY II,Andrea Arroyo,,P.S. 306 - BRONX,BRONX,ACRYLIC ON PANEL
