title,artist,date,School Name,Borough,Medium
THIRTY MILES UPSTATE,Carlos Anderson,,BRONX HS OF SCIENCE - X,BRONX,LITHOGRAPH
HOLIDAY TRAVELERS,Carlos Anderson,1938,FLUSHING HS - Q,QUEENS,LITHOGRAPH
"""COLUMBINO PAINTING""/ ART WALL ""(EDUCATIONAL COMPONENT)""",Carlos Columbino,1999,EDWARD A. REYNOLDS WEST SIDE HS-M,MANHATTAN,PHOTOGRAPH
"""COLUMBINO PAINTING""/ ART WALL ""(EDUCATIONAL COMPONENT)""",Carlos Columbino,1999,EDWARD A. REYNOLDS WEST SIDE HS-M,MANHATTAN,WOOD
"""COLUMBINO PAINTING""/ ART WALL ""(EDUCATIONAL COMPONENT)""",Carlos Columbino,1999,EDWARD A. REYNOLDS WEST SIDE HS-M,MANHATTAN,PLEXIGLASS
"""COLUMBINO PAINTING""/ ART WALL ""(EDUCATIONAL COMPONENT)""",Carlos Columbino,1999,EDWARD A. REYNOLDS WEST SIDE HS-M,MANHATTAN,ACRYLIC ON CANVAS
"""COLUMBINO PAINTING""/ ART WALL ""(EDUCATIONAL COMPONENT)""",Carlos Columbino,1999,EDWARD A. REYNOLDS WEST SIDE HS-M,MANHATTAN,OIL ON WOOD
ARIES TROPICALES,Carlos Nunez,1999,P.S./I.S. 218 - BRONX,BRONX,"MOSAIC, CERAMIC"
FIRST IN THE HEART IS THE DREAM,Carol Byard,,P.S. 233 - BROOKLYN,BROOKLYN,CERAMIC
FIRST IN THE HEART IS THE DREAM,Carol Byard,,P.S. 233 - BROOKLYN,BROOKLYN,TERRAZZO
FIRST IN THE HEART IS THE DREAM,Carol Byard,,P.S. 233 - BROOKLYN,BROOKLYN,BRASS
6 PIECES - SEE COMMENTS FOR TITLES,Carol Field,1987,I.S. 135 - BRONX,BRONX,OIL ON CANVAS
"PS 16, TREE OF KNOWLEDGE",Carol Sun,,,,GLASS
"PS 16, TREE OF KNOWLEDGE",Carol Sun,,,,"MOSAIC, GLASS"
PS 16 TREE OF KNOWLEDGE,Carol Sun,1998,P.S. 16 (OLD Q721 SPED) - QUEENS,QUEENS,TERRAZZO
PS 16 TREE OF KNOWLEDGE,Carol Sun,1998,P.S. 16 (OLD Q721 SPED) - QUEENS,QUEENS,"MOSAIC, GLASS"
"""UNTITLED""",Carolana Parloto,1990,OSSS / DSF - QUEENS,QUEENS,"PLASTER, PAINTED"
"THE SPIRIT OF MIND, BODY AND HEALTH",Carrie Weems,,WALTON HS - X,BRONX,"MOSAIC, GLASS"
"THE SPIRIT OF MIND, BODY AND HEALTH",Carrie Weems,,WALTON HS - X,BRONX,PLYWOOD
"BUST OF JOHN BURROUGHS, 1837 - 1921",Cartaino Pietro,,P.S. 188 - MANHATTAN,MANHATTAN,BRONZE
TIES III/ ART WALL,Casey Adams,,I.S. 254 - BRONX,BRONX,PLEXIGLASS
TIES III/ ART WALL,Casey Adams,,I.S. 254 - BRONX,BRONX,ACRYLIC ON CANVAS
TIES III/ ART WALL,Casey Adams,,I.S. 254 - BRONX,BRONX,WOOD
TIES III/ ART WALL,Casey Adams,,I.S. 254 - BRONX,BRONX,PHOTOGRAPH
MIND GAMES,Celia Munoz,1994,P.S. 8 - MANHATTAN,MANHATTAN,GLASS
UNTITLED,Cesare Stea,1937,EVANDER CHILDS HS - X,BRONX,"PLASTER, PAINTED"
"""NEGRO COUPLE""",Cesare Stea,1936,EVANDER CHILDS HS - X,BRONX,"PLASTER, PAINTED"
BASKETBALL PLAYERS,Chaim Gross,1935,ABRAHAM LINCOLN HS - K,BROOKLYN,"WOOD, CARVED"
COLLEGE GIRL,Chaim Gross,1935,ABRAHAM LINCOLN HS - K,BROOKLYN,EBONY
FENCING BOY,Chaim Gross,,ABRAHAM LINCOLN HS - K,BROOKLYN,EBONY
IN FRONT OF THE ARK,Chaim Gross,1962,NEWTOWN HS - QUEENS,QUEENS,LITHOGRAPH
HURDLERS,Chaim Gross,,ABRAHAM LINCOLN HS - K,BROOKLYN,"WOOD, CARVED"
KNOWLEDGE AND ADVANCEMENT,Charles Alston,1975,I.S. 158 - BRONX,BRONX,BRONZE
"ABRAHAM LINCOLN, FRANKLIN ROOSEVELT",Charles Alston,1955,ABRAHAM LINCOLN HS - K,BROOKLYN,OIL ON CANVAS
MAN ON THE THRESHOLD OF THE SPACE AGE,Charles Alston,1964,P.S. 154 - MANHATTAN,MANHATTAN,"MOSAIC, GLASS"
MAN ON THE THRESHOLD OF THE SPACE AGE,Charles Alston,1964,P.S. 154 - MANHATTAN,MANHATTAN,"MOSAIC, STONE"
PEOPLE OF THE VILLAGE,Charles Alston,1937,ABRAHAM LINCOLN HS - K,BROOKLYN,OIL ON CANVAS
"""PASTORAL SCENE""",Charles Basing,1925,P.S. 4 - BRONX,BRONX,OIL ON CANVAS
ODE TO AUDUBON GREAT AMERICAN NATURALIST,Charles Baskerville,1976,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON PAPER
"ODE TO AUDOBON, GREAT AMERICAN NATURALIST",Charles Baskerville,1976,OSSS / DSF - QUEENS,QUEENS,PRINTED REPRODUCTION
WORLD PROGRESS IN WRITTEN AND PRINTED ARTS,Charles Davis,1939,FRANKLIN K. LANE HS - K,BROOKLYN,TEMPERA ON CANVAS
COLOR REGRESSION # 1 #2  #3,Charles Gaines,1980,I.S. 125 - BRONX,BRONX,"LITHOGRAPH, COLOR"
"""SOUTHERLAND TABLET""",Charles Keck,1917,P.S. 3 - MANHATTAN,MANHATTAN,"BRONZE, CAST"
"""EDUCATION""",Charles Keck,1921,P.S. 138 - BROOKLYN,BROOKLYN,PLASTER
THE INVENTION,Charles Keller,1958,BARD COLLEGE HS (OLD M097) - M,MANHATTAN,ACRYLIC ON CANVAS
THE BOUDOIR,Charles Keller,1983,BARD COLLEGE HS (OLD M097) - M,MANHATTAN,ACRYLIC ON CANVAS
TIMEPIECE,Charles Luce,1986,P.S. 369 (COY COX SCHOOL) - K,BROOKLYN,"WOOD, PAINTED"
TIMEPIECE,Charles Luce,1986,P.S. 369 (COY COX SCHOOL) - K,BROOKLYN,PLEXIGLASS
AIM AT THE ( L)EDGE,Charles Luce,1985,I.S. 99 - MANHATTAN,MANHATTAN,"LITHOGRAPH, COLOR"
"""PORTRAIT OF DR. A. L. COLESON""",Charles Polowetski,1938,BROOKLYN TECH HS - K,BROOKLYN,OIL ON CANVAS
"""GEORGE WASHINGTON""",Charles Polowetski,,BROOKLYN TECH HS - K,BROOKLYN,OIL ON CANVAS
"""THE TECHNITE""",Charles Polowetski,1937,BROOKLYN TECH HS - K,BROOKLYN,OIL ON CANVAS
PORTRAIT OF DR. GABRIEL R. MASON,Charles Polowetski,1939,ABRAHAM LINCOLN HS - K,BROOKLYN,OIL ON CANVAS
UNTITLED,Charles Reina,1975,I.S. 226 - QUEENS,QUEENS,"BRONZE, SHEET"
JOHN BOWNE'S PERSECUTION BY GOV. STUYVESANT,Charles Reina,1939,FLUSHING HS - Q,QUEENS,PLASTER CAST
JOHN BOWNE'S PERSECUTION BY GOV. STUYVESANT,Charles Reina,1939,FLUSHING HS - Q,QUEENS,"PLASTER, PAINTED"
UNTITLED,Charles Reina,1975,I.S. 53 - QUEENS,QUEENS,"BRONZE, SHEET"
"""ABSTRACT""",Charles Reina,1977,I.S. 72 - STATEN ISLAND,STATEN ISLAND,"BRONZE, SHEET"
LIFE'S JOURNEY,Charles Reina,1974,P.S. 36 - STATEN ISLAND,STATEN ISLAND,BRONZE
POE'S COTTAGE,Charles Sarka,1937,P.S. 46 - BRONX,BRONX,WATERCOLOR
CLINTON HS WORLD WAR MEMORIAL,Charles Tefft,1920,DEWITT CLINTON HS - X,BRONX,BRONZE
OPENING THE ERIE CANAL,Charles Turner,1905,DEWITT CLINTON HS - X,BRONX,OIL ON CANVAS
FIELD TRIPS,Chris Doyle,2003,"""QNS HS OF TEACH.",1376,CERAMIC
HEART OF THE SUN,Chris Green,2011,P.S. 48 - QUEENS,QUEENS,CONCRETE
HEART OF THE SUN,Chris Green,2011,P.S. 48 - QUEENS,QUEENS,MIRROR
HEART OF THE SUN,Chris Green,2011,P.S. 48 - QUEENS,QUEENS,"STEEL, STAINLESS"
"""AIR AFRIQUE #4""",Chris Shelton,1972,BOYS & GIRLS HS - K,BROOKLYN,STEEL
"""AIR AFRIQUE #4""",Chris Shelton,1972,BOYS & GIRLS HS - K,BROOKLYN,"STEEL, PAINTED"
OLD EAST NEW YORK,Christina Schlesinger,1994,P.S. 190 - BROOKLYN,BROOKLYN,ACRYLIC ON PANEL
PORTRAIT OF GROVER CLEVELAND,Christine Veit-Lange,1931,GROVER CLEVELAND HS - Q,QUEENS,OIL ON CANVAS
VISITATION,Christopher Jones,1982,P.S. 29 - BROOKLYN,BROOKLYN,OIL ON CANVAS
PAUMANOK,Christopher Jones,1982,P.S. 29 - BROOKLYN,BROOKLYN,OIL ON CANVAS
TIME FLIES,Christy Rupp,1997,P.S. 4 ANNEX (P171 ECC) - BRONX,BRONX,"ALUMINUM, SHEET"
TIME FLIES,Christy Rupp,1997,P.S. 4 ANNEX (P171 ECC) - BRONX,BRONX,"BRONZE, SHEET"
TIME FLIES,Christy Rupp,1997,P.S. 4 ANNEX (P171 ECC) - BRONX,BRONX,BRASS
HORSE AND WAGON,Chuzo Tamotzu,1937,FLUSHING HS - Q,QUEENS,LITHOGRAPH
HEAD,Claire Mahl,1940,FORT HAMILTON HS - K,BROOKLYN,LITHOGRAPH
TRANSPORTATION,Claire Mahl,1937,FLUSHING HS - Q,QUEENS,LITHOGRAPH
ANIMAL COUNT,Claudia Demonte,1994,P.S. 51 (ECC) - QUEENS,QUEENS,CERAMIC
BOATS AT DECK,Clemence Miletti,,NEWTOWN HS - QUEENS,QUEENS,WATERCOLOR
SCHOOL ACTIVITIES,Clemente Spampinato,1957,P.S. 2 - MANHATTAN,MANHATTAN,ALUMINUM
ASPIRATION OF YOUTH,Clemente Spampinato,1967,CARDOZO AF - QUEENS,QUEENS,"BRONZE, CAST"
JUSTICE BENJAMIN N. CARDOZO,Clemente Spampinato,1967,BENJAMIN N. CARDOZO HS - Q,QUEENS,BRICK
JUSTICE BENJAMIN N. CARDOZO,Clemente Spampinato,1967,BENJAMIN N. CARDOZO HS - Q,QUEENS,BRONZE
PHYSICAL EDUCATION,Clemente Spampinato,1961,I.S. 93 - QUEENS,QUEENS,BRONZE
"""EDUCATION""",Clemente Spampinato,1961,P.S. 224 - BROOKLYN,BROOKLYN,"ALUMINUM, CAST"
"""SPORT""",Clemente Spampinato,1958,J.H.S. 142 - BROOKLYN,BROOKLYN,TERRA COTTA
"""ATHLETICS""",Clemente Spampinato,1976,P.S. 69 - STATEN ISLAND,STATEN ISLAND,BRONZE
"""FOOTBALL, BASKETBALL, AND POLE VAULTING""",Clemente Spampinato,1962,STATEN ISLAND TECHNICAL HS - S.I.,STATEN ISLAND,"ALUMINUM, CAST"
ELEMENTS OF EDUCATION,Clemente Spampinato,1971,P.S. 160 - BRONX,BRONX,"BRONZE, CAST"
"""BASKETBALL""",Clemente Spampinato,1957,P.S. 140 - BRONX,BRONX,"BRONZE, CAST"
AD ASTRA PER LIBROS,Clemente Spampinato,1963,P.S. 29 - BRONX,BRONX,BRASS
AD ASTRA PER LIBROS,Clemente Spampinato,1963,P.S. 29 - BRONX,BRONX,BRONZE
"""WILLIAM T. DAVIS""",Clemente Spampinato,1965,P.S. 31 - STATEN ISLAND,STATEN ISLAND,BRONZE
INTERGALACTIC JOURNEY,Clendon Pole,1978,P.S. 4 - BRONX,BRONX,ACRYLIC ON PANEL
LONG ISLAND HERITAGE,Cliff(Ord) Young,1962,P.S. 232 - QUEENS,QUEENS,"MOSAIC, GLASS"
LONG ISLAND HERITAGE,Cliff(Ord) Young,1962,P.S. 232 - QUEENS,QUEENS,"MOSAIC, MARBLE"
FREEDOM OF RELIGION,Cliff(Ord) Young,1976,NEWCOMERS HIGH SCHOOL (OLD LIC)-Q,QUEENS,OIL ON CANVAS
AD ASTRA PER ASPERA,Clyde Lynds,1994,TOWNSEND HARRIS HS - Q,QUEENS,CONCRETE
AD ASTRA PER ASPERA,Clyde Lynds,1994,TOWNSEND HARRIS HS - Q,QUEENS,FIBER OPTICS
REFLECTIONS,Colette Meltzer,,,,"ETCHING, COLOR"
CHAMBERED NAUTILUS,Comer Jennings,1978,P.S. 268 - BROOKLYN,BROOKLYN,"LITHOGRAPH, COLOR"
GIRL WITH FAWN,Concetta Scaravaglione,,WILLIAM C. BRYANT HS - Q,QUEENS,CAST STONE
(CHILDREN AT) PLAY,Connie Fenicchia,2012,P.S. 59 (MEETH) - MANHATTAN,MANHATTAN,"MOSAIC, GLASS"
STUDY FOR MOSIAC MURAL FOR PS 377-K,Constance Kiermaier,,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON PAPER
ROOF PROMENADE SCULPTURE,Costantino Nivola,1968,LOUIS D. BRANDEIS HS - MANHATTAN,MANHATTAN,CONCRETE
RELIEF PANELS,Costantino Nivola,1965,LOUIS D. BRANDEIS HS - MANHATTAN,MANHATTAN,CONCRETE
"""SCULPTURED PANELS""",Costantino Nivola,1956,I.S. 13 - MANHATTAN,MANHATTAN,CONCRETE
UNTITLED,Costantino Nivola,1960,J.H.S. 8 - QUEENS,QUEENS,"TERRA COTTA, GLAZED"
ACADEMIC ACHIEVEMENT,Costantino Nivola,,TOTTENVILLE HS - S. I.,STATEN ISLAND,"CONCRETE, PRECAST"
SYNTHESIS OF ACADEMIC AND VOCATN'L ENDEAVORS,Costantino Nivola,1970,TOTTENVILLE HS - S. I.,STATEN ISLAND,"CONCRETE, PRECAST"
UNTITLED,Costantino Nivola,1968,P.S. 345 - BROOKLYN,BROOKLYN,"CONCRETE, PRECAST"
UNTITLED,Costantino Nivola,1961,I.S. 113 - BROOKLYN,BROOKLYN,"TERRA COTTA, GLAZED"
"""HORSES""",Costantino Nivola,1960,P.S. 46 - BROOKLYN,BROOKLYN,CONCRETE
"""ABSTRACT""",Costantino Nivola,1965,P.S. 55 - STATEN ISLAND,STATEN ISLAND,"CONCRETE, PRECAST"
"""UNTITLED""",Costantino Nivola,1955,I.S. 33 - BROOKLYN,BROOKLYN,CONCRETE
EDUCATION AND FAMILY,Costantino Nivola,1972,J.H.S. 203 - BRONX,BRONX,CONCRETE
ABSTRACT,Costantino Nivola,1958,WILLIAM E. GRADY VOC HS - K,BROOKLYN,CONCRETE
UNTITLED,Costantino Nivola,,P.S. 46 - BROOKLYN,BROOKLYN,GRAFFITO
UNTITLED,Costantino Nivola,,P.S. 46 - BROOKLYN,BROOKLYN,CONCRETE
UNTITLED,Costantino Nivola,1960,P.S. 46 - BROOKLYN,BROOKLYN,CONCRETE
UNTITLED,Costantino Nivola,1959,P.S. 46 - BROOKLYN,BROOKLYN,FRESCO
UNTITLED,Costantino Nivola,1959,P.S. 46 - BROOKLYN,BROOKLYN,CONCRETE
"""UNKNOWN""",Costantino Nivola,1968,P.S. 375 - BROOKLYN,BROOKLYN,CONCRETE
"""EDUCATION AND LEARNING""",Costantino Nivola,1965,P.S. 1 - BROOKLYN,BROOKLYN,CONCRETE
THE FAMILY,Costantino Nivola,1973,BEACH CHANNEL HS - Q,QUEENS,CONCRETE
THE FAMILY,Costantino Nivola,1973,BEACH CHANNEL HS - Q,QUEENS,STEEL
UNTITLED,Costantino Nivola,1960,I.S. 113 - BROOKLYN,BROOKLYN,"TERRA COTTA, GLAZED"
LUFTSCHIFF (3),Creighton Michaels,1986,OSSS / DSF - QUEENS,QUEENS,LATEX
LUFTSCHIFF (3),Creighton Michaels,1986,OSSS / DSF - QUEENS,QUEENS,WOOD
THE LIVELY NARROWS,Crystal Lorch-Seidman,1991,FORT HAMILTON HS - K,BROOKLYN,"MOSAIC, CERAMIC"
THE LIVELY NARROWS,Crystal Lorch-Seidman,1991,FORT HAMILTON HS MODULAR UNIT - K,BROOKLYN,ACRYLIC ON CANVAS
"MAQUETTE FOR ""THE LIVELY NARROWS""",Crystal Lorch-Seidman,,FORT HAMILTON HS - K,BROOKLYN,ACRYLIC ON CANVAS
NANTUCKET,Cyn Mc Clean,1984,P.S. 288 - BROOKLYN,BROOKLYN,WATERCOLOR
SHOSHONE CANYON,D Cady,1984,P.S. 117 - QUEENS,QUEENS,WATERCOLOR
THE SEVEN AGES OF MAN,Dan Rico,1940,FORT HAMILTON HS - K,BROOKLYN,WOODCUT
THE SEVEN AGES OF MAN,Dan Rico,1940,FORT HAMILTON HS - K,BROOKLYN,LINOLEUM CUT
SUBWAY DRILLERS,Dan Rico,1940,FORT HAMILTON HS - K,BROOKLYN,WOODCUT
EVENING MEAL,Dan Rico,1940,FORT HAMILTON HS - K,BROOKLYN,WOODCUT
CHILDREN IN CREATIVE & CULTURAL ACTIVITIES,Daniel Celentano,,P.S. 150 - QUEENS,QUEENS,OIL ON CANVAS
WONDROUS WINDOWS,Daniel Rosenbaum,1991,P.S. 165 - QUEENS,QUEENS,STAINED GLASS
WONDROUS WINDOWS,Daniel Rosenbaum,1991,P.S. 165 - QUEENS,QUEENS,PLEXIGLASS
,Dave Eppley,2012,CESIAH TORO MULLANE SCHOOL - K,BROOKLYN,
AFTER RYDER: MOONLIGHT MARINE . . . SEE NOTES,David Bierk,1990,WILLIAM C. BRYANT HS - Q,QUEENS,OIL ON CANVAS
AFTER MONET . . . SEE NOTES,David Bierk,1990,I.S. 227 - BROOKLYN,BROOKLYN,OIL ON CANVAS
AFTER RYDER CONSTANCE,David Bierk,1990,P.S. 66 - BRONX,BRONX,OIL ON CANVAS
UNTITLED,David Brown,1974,P.S. 384 - BROOKLYN,BROOKLYN,"STEEL, STAINLESS"
COUNTRY RAILROAD TRACKS,David Burke,1937,MIDWOOD HS - K,BROOKLYN,LITHOGRAPH
INDUSTRIAL WORKS,David Burke,1940,FORT HAMILTON HS - K,BROOKLYN,SILKSCREEN
BLUE RESERVOIR,David Dunlop,1988,P.S. 53 (OLD P838) - BROOKLYN,BROOKLYN,ACRYLIC ON PAPER
BLUE RESERVOIR II,David Dunlop,1988,I.S. 52 - MANHATTAN,MANHATTAN,ACRYLIC ON PAPER
"CONNECTICUT MILL POND I, CONNECTICUT MILL POND II",David Dunlop,1988,P.S. 143 - QUEENS,QUEENS,ACRYLIC ON PAPER
POOLED IN A LEAF,David Dunlop,1988,I.S. 390 - BROOKLYN,BROOKLYN,ACRYLIC ON CANVAS
OCTOBER CREEK,David Dunlop,1988,I.S. 220 - BROOKLYN,BROOKLYN,ACRYLIC ON PAPER
THE BOSS,David Feinstein,1937,FLUSHING HS - Q,QUEENS,LITHOGRAPH
"CRUEL APRIL #1, CRUEL APRIL #2",David Freed,1982,OSSS / DSF - QUEENS,QUEENS,PAPER
INDIAN SUMMER,David Grubb,,HS FOR ARTS AND BUS. (OL NUTN X)-Q,QUEENS,GOUACHE
INDIAN SUMMER,David Grubb,,HS FOR ARTS AND BUS. (OL NUTN X)-Q,QUEENS,PAPER
INDIAN SUMMER,David Grubb,,HS FOR ARTS AND BUS. (OL NUTN X)-Q,QUEENS,PASTEL
"""SPORTS ACTIVITIES""",David Gutman,1937,P.S. 150 - QUEENS,QUEENS,TEMPERA ON PANEL
"""ASTRONOMY""",David Holleman,1976,HARRY S. TRUMAN HS - X,BRONX,"MOSAIC, CERAMIC"
"""THE LIVELY ARTS""",David Holleman,1976,HARRY S. TRUMAN HS - X,BRONX,"MOSAIC, CERAMIC"
"""THE VISUAL ARTS""",David Holleman,1977,HARRY S. TRUMAN HS - X,BRONX,"MOSAIC, CERAMIC"
"""SPORTS AND GAMES""",David Holleman,1977,HARRY S. TRUMAN HS - X,BRONX,"MOSAIC, CERAMIC"
CARICATURE OF NORMAN ROCKWELL,David Levine,1972,DOE ADMINISTRATIVE / STUDENT SERVICES - QUEENS,QUEENS,LITHOGRAPH
"""THE HISTORY OF AMERICAN MUSIC""",David Margolis,1934,SAMUEL J. TILDEN HS - K,BROOKLYN,FRESCO
"LEON M. GOLDSTEIN, PRESIDENT",David Olander,,LEON GOLDSTEIN HS - BROOKLYN,BROOKLYN,OIL ON CANVAS
FIGURE IT OUT,David Opdyke,2010,P.S. 163 - BROOKLYN,BROOKLYN,TYVEK
FIGURE IT OUT,David Opdyke,2010,P.S. 163 - BROOKLYN,BROOKLYN,GRAPHITE
FIGURE IT OUT,David Opdyke,2010,P.S. 163 - BROOKLYN,BROOKLYN,STAINLESS STEEL CABLE
RESCUE,David Raymond,,I.S. 68 - BROOKLYN,BROOKLYN,ACRYLIC ON CANVAS
UNTITLED,David Wilson,1973,I.S. 291 - BROOKLYN,BROOKLYN,CERAMIC
"""ATHLETICS""",David Wilson,1978,CAMPUS MAGNET HS (JACKSON) - Q,QUEENS,EXTERIOR PAINT
"""ATHLETICS""",David Wilson,1978,CAMPUS MAGNET HS (JACKSON) - Q,QUEENS,CONCRETE
FULTON FISH MARKET,Dayton Brandfield,1937,MIDWOOD HS - K,BROOKLYN,LITHOGRAPH
CLOWN ON UNICYCLE,Dayton Brandfield,1937,FLUSHING HS - Q,QUEENS,LITHOGRAPH
VARIOUS - STUDIES FOR MURALS,Dean Cornwell,,I.S. 172 (OLD 43) - MANHATTAN,MANHATTAN,PRINTED REPRODUCTION
VARIOUS - STUDIES FOR MURALS,Dean Cornwell,,I.S. 172 (OLD 43) - MANHATTAN,MANHATTAN,DRAWING
VARIOUS - STUDIES FOR MURALS,Dean Cornwell,,I.S. 172 (OLD 43) - MANHATTAN,MANHATTAN,PAPER
"""VALLEY FORGE""",Deane Keller,1933,G. WASHINGTON HS EDUC. CAMPUS - M,MANHATTAN,TO BE DETERMINED
"""DECORATIVE STAINED GLASS""",Deane Keller,1923,BUSHWICK HS - K,BROOKLYN,STAINED GLASS
THE SEASONS,Deborah Brown,2001,P.S. 178 - MANHATTAN,MANHATTAN,"MOSAIC, CERAMIC"
THE SEASONS,Deborah Brown,2001,P.S. 178 - MANHATTAN,MANHATTAN,"MOSAIC, GLASS"
THE SEASONS,Deborah Brown,2001,P.S. 178 - MANHATTAN,MANHATTAN,"MOSAIC, MARBLE"
DRAGON,Deborah Wasserman,2006,P.S. 69 - BROOKLYN,BROOKLYN,OIL ON WOOD
DRAGON,Deborah Wasserman,2006,P.S. 69 - BROOKLYN,BROOKLYN,ACRYLIC
CULTURE MIX,Deborah Wasserman,2004,P.S. 69 - BROOKLYN,BROOKLYN,DIGITAL PRINT
CULTURE MIX,Deborah Wasserman,2004,P.S. 69 - BROOKLYN,BROOKLYN,"ALUMINUM, SHEET"
TRIBUTARIES,Dennis Adams,1995,LONG ISLAND CITY HS (NEW) - Q,QUEENS,PHOTOGRAPH
TRIBUTARIES,Dennis Adams,1995,LONG ISLAND CITY HS (NEW) - Q,QUEENS,PLEXIGLASS
TRIBUTARIES,Dennis Adams,1995,LONG ISLAND CITY HS (NEW) - Q,QUEENS,"STEEL, STAINLESS"
IT'S OUR BIG BANG,Desdemona Minchillo,2011,P.S. /I.S. 128 - QUEENS,QUEENS,ACOUSTIC PANELS
IT'S OUR BIG BANG,Desdemona Minchillo,2011,P.S. /I.S. 128 - QUEENS,QUEENS,ACOUSTIC FABRIC
OUT OF THE CORNER OF YOUR EYE,Diana Cooper,2008,JEROME PARKER CAMPUS - S.I.,STATEN ISLAND,GLASS
OUT OF THE CORNER OF YOUR EYE,Diana Cooper,2008,JEROME PARKER CAMPUS - S.I.,STATEN ISLAND,WOOD
OUT OF THE CORNER OF YOUR EYE,Diana Cooper,2008,JEROME PARKER CAMPUS - S.I.,STATEN ISLAND,MDF
PATHS AND STARS,Dina Bursztyn,,P.S. 376A - BROOKLYN,BROOKLYN,CERAMIC
HEAD OF A CHILD,Dina Melikov,1937,P.S. 216 - BROOKLYN,BROOKLYN,CAST STONE
LOUIS ARMSTRONG,Dolph Ell,,I.S. 227 - QUEENS,QUEENS,BRONZE
BUST OF PABLO CASSALS,Domenico Facci,1976,I.S. 181 - BRONX,BRONX,CERAMIC
"""PLAY AND STUDY""",Domenico Facci,1974,I.S. 339 (OLD 147) - BRONX,BRONX,"BRONZE, CAST"
THREE MOMENTOUS EVENTS IN WORLD HISTORY,Domenico Mortellito,,OSSS / DSF - QUEENS,QUEENS,PRINT
GIFT OF FREEDOM,Domenico Mortellito,1975,OSSS / DSF - QUEENS,QUEENS,WATERCOLOR
"""PETROLEUM INDUSTRY""",Domenico Mortellito,1934,JAMES MONROE CAMPUS - X,BRONX,TEMPERA ON PANEL
THREE MOMENTOUS EVENTS IN WORLD HISTORY,Domenico Mortellito,1976,OSSS / DSF - QUEENS,QUEENS,GOUACHE
THREE MOMENTOUS EVENTS IN WORLD HISTORY,Domenico Mortellito,1976,OSSS / DSF - QUEENS,QUEENS,PAPER
"""CREATION OF THE UNIVERSE""",Donald De Lue,1953,I.S. 198 - QUEENS,QUEENS,NICKEL BRONZE
THE LAGUARDIA SUITE,Donald Lipski,1997,FIORELLO LAGUARDIA HS - MANHATTAN,MANHATTAN,RUBBER
THE LAGUARDIA SUITE,Donald Lipski,1997,FIORELLO LAGUARDIA HS - MANHATTAN,MANHATTAN,SILK
THE LAGUARDIA SUITE,Donald Lipski,1997,FIORELLO LAGUARDIA HS - MANHATTAN,MANHATTAN,GLASS
THE LAGUARDIA SUITE,Donald Lipski,1997,FIORELLO LAGUARDIA HS - MANHATTAN,MANHATTAN,BRASS
THE LAGUARDIA SUITE,Donald Lipski,1997,FIORELLO LAGUARDIA HS - MANHATTAN,MANHATTAN,PLASTIC
THE LAGUARDIA SUITE,Donald Lipski,1997,FIORELLO LAGUARDIA HS - MANHATTAN,MANHATTAN,WOOD
DREAMING OF FAR AWAY PLACES:  THE SHIPS COME TO WASHINGTON MARKET,Donna Dennis,1988,P.S. 234 - MANHATTAN,MANHATTAN,"STEEL, PAINTED"
VIEWS OF WASHINGTON MARKET THROUGH THE ...,Donna Dennis,1986,P.S. 234 - MANHATTAN,MANHATTAN,"TERRA COTTA, GLAZED"
DAEDALUS BEDAZZLED,Donna Dennis,1996,I.S. 5 - QUEENS,QUEENS,"STEEL, PAINTED"
DAEDALUS BEDAZZLED,Donna Dennis,1996,I.S. 5 - QUEENS,QUEENS,"STEEL, STAINLESS"
UPSTATE MORNING,Donna Levinstone,1989,P.S. 110 - MANHATTAN,MANHATTAN,PAPER
UPSTATE MORNING,Donna Levinstone,1989,P.S. 110 - MANHATTAN,MANHATTAN,PASTEL
"TRANSFER CEREMONY OCTOBER 18, 1867",Donna Sanderwick,,OSSS / DSF - QUEENS,QUEENS,PRINT
TRANSFER OF ALASKA,Donna Standerwick,1976,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON PAPER
DRESS OF 1834 - 40,Dorothy Gerhardt,,FLUSHING HS - Q,QUEENS,GRAPHITE
DRESS OF 1834 - 40,Dorothy Gerhardt,,FLUSHING HS - Q,QUEENS,WATERCOLOR
ROSES,Dorothy Koppelman,,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS
WEATHER PAVILION,Douglas Hollis,1993,P.S. 217-BLACKWL-RSV ISL (UDC)-M,MANHATTAN,PLEXIGLASS
WEATHER PAVILION,Douglas Hollis,1993,P.S. 217-BLACKWL-RSV ISL (UDC)-M,MANHATTAN,STONE
WEATHER PAVILION,Douglas Hollis,1993,P.S. 217-BLACKWL-RSV ISL (UDC)-M,MANHATTAN,"STEEL, STAINLESS"
WEATHER PAVILION,Douglas Hollis,1993,P.S. 217-BLACKWL-RSV ISL (UDC)-M,MANHATTAN,GRANITE
WEATHER PAVILION,Douglas Hollis,1993,P.S. 217-BLACKWL-RSV ISL (UDC)-M,MANHATTAN,CONCRETE
WEATHER PAVILION,Douglas Hollis,1993,P.S. 217-BLACKWL-RSV ISL (UDC)-M,MANHATTAN,MARBLE
